Method,BCR_L1,BCR_L2,BCR_L2.5,BCR_L3,BCR_L3.5,BCR_L4,VDJdb-TCR_L1,VDJdb-TCR_L2,VDJdb-TCR_L2.5,VDJdb-TCR_L3,VDJdb-TCR_L4,VDJdb-Paired_L1,VDJdb-Paired_L2,VDJdb-Paired_L2.5,VDJdb-Paired_L3,VDJdb-Paired_L4,McPAS-TCR_L1,McPAS-TCR_L2,McPAS-TCR_L2.5,McPAS-TCR_L3,McPAS-TCR_L4,SAbDab_L1,SAbDab_L2,SAbDab_L2.5,SAbDab_L3,SAbDab_L4,SAbDab-Paired_L4,SAbDab-Paired_L1,SAbDab-Paired_L2,SAbDab-Paired_L2.5,SAbDab-Paired_L3
BLOSUM62,"0.459 [0.417, 0.498]","0.433 [0.395, 0.474]","0.526 [0.487, 0.562]","0.538 [0.503, 0.572]","0.517 [0.464, 0.572]","0.522 [0.472, 0.570]","0.376 [0.352, 0.399]","0.315 [0.294, 0.336]","0.356 [0.336, 0.376]","0.406 [0.382, 0.430]","0.401 [0.375, 0.429]","0.436 [0.412, 0.460]","0.123 [0.112, 0.134]","0.179 [0.165, 0.194]","0.458 [0.433, 0.483]","0.437 [0.410, 0.462]","0.387 [0.363, 0.409]","0.389 [0.369, 0.409]","0.495 [0.474, 0.514]","0.477 [0.455, 0.498]","0.426 [0.403, 0.450]","0.360 [0.288, 0.459]","0.261 [0.211, 0.329]","0.349 [0.280, 0.432]","0.376 [0.303, 0.469]","0.350 [0.274, 0.439]","0.359 [0.293, 0.440]","0.359 [0.281, 0.448]","0.123 [0.096, 0.156]","0.215 [0.169, 0.270]","0.367 [0.297, 0.455]"
Levenshtein,"0.446 [0.407, 0.487]","0.432 [0.394, 0.473]","0.517 [0.479, 0.554]","0.550 [0.504, 0.589]","0.509 [0.460, 0.555]","0.508 [0.460, 0.559]","0.355 [0.332, 0.380]","0.310 [0.289, 0.330]","0.347 [0.329, 0.366]","0.387 [0.362, 0.410]","0.383 [0.355, 0.409]","0.414 [0.391, 0.437]","0.123 [0.111, 0.134]","0.180 [0.166, 0.194]","0.442 [0.419, 0.465]","0.437 [0.412, 0.462]","0.360 [0.341, 0.378]","0.385 [0.364, 0.407]","0.479 [0.457, 0.503]","0.461 [0.442, 0.479]","0.424 [0.401, 0.448]","0.353 [0.284, 0.446]","0.266 [0.213, 0.330]","0.348 [0.280, 0.433]","0.363 [0.291, 0.449]","0.332 [0.267, 0.415]","0.356 [0.288, 0.435]","0.377 [0.306, 0.470]","0.122 [0.095, 0.156]","0.214 [0.168, 0.269]","0.379 [0.300, 0.471]"
TCRdist (CDR-weighted heuristic),—,—,—,—,—,—,"0.375 [0.352, 0.399]",—,—,"0.408 [0.389, 0.428]","0.399 [0.375, 0.425]","0.437 [0.412, 0.461]",—,—,"0.458 [0.432, 0.484]","0.437 [0.410, 0.463]",—,—,—,—,—,—,—,—,—,—,—,,,,
"TCRdist3 (real, paired alpha+beta)",—,—,—,—,—,—,—,—,—,—,"0.428 [0.407, 0.450]",—,—,—,—,"0.515 [0.489, 0.541]",—,—,—,—,0.253†,—,—,—,—,—,—,,,,
AbLang,"0.390 [0.346, 0.438]","0.400 [0.358, 0.441]","0.479 [0.436, 0.516]","0.504 [0.459, 0.548]","0.543 [0.493, 0.592]","0.535 [0.485, 0.586]",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,"0.322 [0.260, 0.404]","0.258 [0.205, 0.323]","0.323 [0.257, 0.405]","0.336 [0.275, 0.417]","0.341 [0.274, 0.423]","0.357 [0.290, 0.448]",,,,
AntiBERTy,"0.398 [0.354, 0.443]","0.428 [0.390, 0.471]","0.495 [0.456, 0.535]","0.471 [0.426, 0.513]",—,"0.551 [0.506, 0.593]",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,"0.286 [0.225, 0.362]","0.251 [0.200, 0.316]","0.314 [0.247, 0.404]","0.325 [0.259, 0.411]","0.373 [0.300, 0.467]","0.376 [0.303, 0.468]",,,,
ESM2-150M,"0.357 [0.322, 0.393]","0.397 [0.360, 0.435]","0.483 [0.447, 0.522]","0.445 [0.401, 0.488]","0.474 [0.422, 0.527]","0.514 [0.470, 0.551]","0.282 [0.260, 0.305]","0.295 [0.274, 0.316]","0.323 [0.304, 0.344]","0.352 [0.330, 0.374]","0.391 [0.367, 0.415]","0.352 [0.330, 0.373]","0.123 [0.112, 0.135]","0.178 [0.164, 0.192]","0.395 [0.374, 0.417]","0.424 [0.400, 0.447]","0.272 [0.254, 0.289]","0.388 [0.367, 0.410]","0.468 [0.445, 0.490]","0.390 [0.369, 0.410]","0.427 [0.404, 0.450]","0.286 [0.230, 0.355]","0.265 [0.210, 0.335]","0.333 [0.265, 0.420]","0.294 [0.240, 0.362]","0.333 [0.261, 0.430]","0.351 [0.280, 0.444]","0.299 [0.238, 0.375]","0.121 [0.094, 0.153]","0.215 [0.168, 0.271]","0.280 [0.226, 0.350]"
ESM2-650M,"0.372 [0.333, 0.416]","0.408 [0.365, 0.449]","0.482 [0.445, 0.525]","0.417 [0.379, 0.456]","0.514 [0.463, 0.563]","0.541 [0.494, 0.584]","0.304 [0.284, 0.325]","0.305 [0.283, 0.326]","0.326 [0.305, 0.348]","0.371 [0.351, 0.391]","0.393 [0.366, 0.419]","0.349 [0.327, 0.371]","0.122 [0.111, 0.133]","0.178 [0.164, 0.192]","0.396 [0.377, 0.418]","0.427 [0.405, 0.449]","0.282 [0.265, 0.300]","0.381 [0.358, 0.403]","0.467 [0.448, 0.486]","0.409 [0.390, 0.431]","0.415 [0.393, 0.438]","0.274 [0.213, 0.345]","0.256 [0.198, 0.320]","0.333 [0.270, 0.417]","0.284 [0.228, 0.350]","0.306 [0.239, 0.389]","0.357 [0.281, 0.444]","0.289 [0.236, 0.353]","0.121 [0.093, 0.154]","0.219 [0.170, 0.276]","0.303 [0.247, 0.378]"
ESM2-3B,"0.350 [0.309, 0.393]","0.412 [0.375, 0.449]","0.466 [0.437, 0.496]","0.446 [0.404, 0.490]","0.487 [0.429, 0.539]","0.528 [0.479, 0.577]","0.308 [0.286, 0.329]","0.300 [0.279, 0.318]","0.334 [0.311, 0.356]","0.367 [0.346, 0.389]","0.393 [0.370, 0.415]","0.363 [0.340, 0.387]","0.123 [0.111, 0.135]","0.180 [0.167, 0.194]","0.399 [0.379, 0.417]","0.430 [0.406, 0.455]","0.305 [0.285, 0.326]","0.387 [0.365, 0.410]","0.478 [0.457, 0.501]","0.411 [0.390, 0.431]","0.414 [0.393, 0.436]","0.261 [0.204, 0.334]","0.253 [0.199, 0.318]","0.317 [0.249, 0.398]","0.295 [0.236, 0.367]","0.351 [0.285, 0.442]","0.358 [0.288, 0.444]","0.286 [0.230, 0.359]","0.121 [0.094, 0.151]","0.211 [0.166, 0.265]","0.269 [0.220, 0.329]"
TCR-BERT,—,—,—,—,—,—,"0.349 [0.325, 0.372]","0.305 [0.284, 0.324]","0.334 [0.314, 0.356]",—,—,—,—,—,—,—,"0.333 [0.311, 0.357]","0.384 [0.364, 0.405]","0.471 [0.452, 0.491]",—,—,—,—,—,—,—,—,,,,
